BlockID,long,lat
1.4.221-9,-71.5652902393558,-16.3248920151668
1.4.222-1,,
1.4.222-1,-71.5672102590298,-16.3271952792154
1.4.222-1,-71.5669976646162,-16.327197525905
1.4.222-1,-71.5670104310903,-16.3263316004624
1.4.222-1,-71.5670230891543,-16.3261102765136
1.4.222-1,-71.5672024952494,-16.3261151297698
1.4.222-1,-71.5672102590298,-16.3271952792154
1.4.222-2,,
1.4.222-2,-71.5672086728376,-16.325978408618
1.4.222-2,-71.5670211153652,-16.3259736324686
1.4.222-2,-71.5670241896329,-16.3249145213056
1.4.222-2,-71.5672089237544,-16.3249183829979
1.4.222-2,-71.5672086728376,-16.325978408618
1.4.222-3,,
1.4.222-3,-71.5669413602917,-16.3255550069745
1.4.222-3,-71.5665786949059,-16.3255570885903
1.4.222-3,-71.5665769124133,-16.3249108406368
1.4.222-3,-71.5669372555842,-16.3249082397634
1.4.222-3,-71.5669413602917,-16.3255550069745
1.4.222-4,,
1.4.222-4,-71.5661221142618,-16.325558559377
1.4.222-4,-71.5657744165891,-16.3255407509739
1.4.222-4,-71.5657862767445,-16.3248901283741
1.4.222-4,-71.5661269374601,-16.3248969397761
1.4.222-4,-71.5661221142618,-16.325558559377
1.4.222-5,,
1.4.222-5,-71.5669174204182,-16.3259841140497
1.4.222-5,-71.5657695428869,-16.3259756656153
1.4.222-5,-71.5657752150797,-16.3256459875703
1.4.222-5,-71.5669181031141,-16.3256533688106
1.4.222-5,-71.5669174204182,-16.3259841140497
1.4.222-6,,
1.4.222-6,-71.5657791660929,-16.3261223125173
1.4.222-6,-71.5661120982825,-16.3261256525065
1.4.222-6,-71.5661119226762,-16.3267701247539
1.4.222-6,-71.5657693271242,-16.3267729173313
1.4.222-6,-71.5657791660929,-16.3261223125173
1.4.222-7,,
1.4.222-7,-71.5669135991065,-16.3267790888927
1.4.222-7,-71.5665754603002,-16.3267736980811
1.4.222-7,-71.5665809917818,-16.3261248928947
1.4.222-7,-71.5669057188857,-16.3261296243235
1.4.222-7,-71.5669135991065,-16.3267790888927
1.4.222-8,,
1.4.222-8,-71.5669114308829,-16.3268705696718
1.4.222-8,-71.5669147775417,-16.3272094082153
1.4.222-8,-71.5657623528102,-16.3271981560095
1.4.222-8,-71.5657678801954,-16.326859021186
1.4.222-8,-71.5669114308829,-16.3268705696718
1.4.223-1,,
1.4.223-1,-71.5672757410955,-16.3272052316503
1.4.223-1,-71.567288141769,-16.3261156708676
1.4.223-1,-71.5675998449797,-16.3261209640248
1.4.223-1,-71.5675986934896,-16.3272003485514
1.4.223-1,-71.5672757410955,-16.3272052316503
1.4.223-10,,
1.4.223-10,-71.5690233777405,-16.32720053559
1.4.223-10,-71.5690182903681,-16.3261198914209
1.4.223-10,-71.5694176031027,-16.3261313061416
1.4.223-10,-71.5694179508331,-16.327196321992
1.4.223-10,-71.5690233777405,-16.32720053559
1.4.223-2,,
1.4.223-2,-71.5676013676453,-16.3259788680182
1.4.223-2,-71.5672851099451,-16.325980920504
1.4.223-2,-71.5672972327508,-16.3253355741214
1.4.223-2,-71.567602493963,-16.3253382326641
1.4.223-2,-71.5676013676453,-16.3259788680182
1.4.223-3,,
1.4.223-3,-71.5672917928297,-16.3252775723839
1.4.223-3,-71.5673002755548,-16.3249300953448
1.4.223-3,-71.5679846427472,-16.324932432933
1.4.223-3,-71.5679832087585,-16.3252854851813
1.4.223-3,-71.5672917928297,-16.3252775723839
1.4.223-4,,
1.4.223-4,-71.5684678927109,-16.3259871274123
1.4.223-4,-71.5680584339913,-16.3259815747769
1.4.223-4,-71.5680833795049,-16.3249294630125
1.4.223-4,-71.568471242706,-16.3249283600301
1.4.223-4,-71.5684678927109,-16.3259871274123
1.4.223-5,,
1.4.223-5,-71.5679704083354,-16.3272044308239
1.4.223-5,-71.5676533341709,-16.3272036866062
1.4.223-5,-71.5676572861901,-16.3261242239801
1.4.223-5,-71.5679769856602,-16.3261248332902
1.4.223-5,-71.5679704083354,-16.3272044308239
1.4.223-6,,
1.4.223-6,-71.5684624314091,-16.3272054509785
1.4.223-6,-71.5680623431588,-16.3272062029777
1.4.223-6,-71.5680729528599,-16.32612695863
1.4.223-6,-71.5684669181757,-16.3261174693106
1.4.223-6,-71.5684624314091,-16.3272054509785
1.4.223-7,,
1.4.223-7,-71.5689527915641,-16.3271883024299
1.4.223-7,-71.5685298239627,-16.3271969853388
1.4.223-7,-71.5685322612834,-16.3269335702034
1.4.223-7,-71.568937735966,-16.3269212128125
1.4.223-7,-71.5689527915641,-16.3271883024299
1.4.223-8,,
1.4.223-8,-71.5689711271115,-16.3249348477902
1.4.223-8,-71.5689606365453,-16.3259875501504
1.4.223-8,-71.568536421855,-16.3259883243309
1.4.223-8,-71.5685529372377,-16.3249359901319
1.4.223-8,-71.5689711271115,-16.3249348477902
1.4.223-9,,
1.4.223-9,-71.5694277735339,-16.3259839612099
1.4.223-9,-71.5690240419247,-16.3259795292916
1.4.223-9,-71.5690521925256,-16.3249405163383
1.4.223-9,-71.5694389653715,-16.3249435992283
1.4.223-9,-71.5694277735339,-16.3259839612099
1.4.224-1,,
1.4.224-1,-71.5722072733792,-16.3272242178222
1.4.224-1,-71.571924699738,-16.3272398375863
1.4.224-1,-71.5713270454556,-16.326573990406
1.4.224-1,-71.5710862917067,-16.3263014656022
1.4.224-1,-71.5710468871127,-16.3262677544001
1.4.224-1,-71.5710491543904,-16.3261310110788
1.4.224-1,-71.5712118613996,-16.3261334454554
1.4.224-1,-71.5722072733792,-16.3272242178222
1.4.224-10,,
1.4.224-10,-71.5726060774455,-16.3269981792748
1.4.224-10,-71.5724544626168,-16.3267928922538
1.4.224-10,-71.572150541143,-16.3264597668893
1.4.224-10,-71.5721972392976,-16.3264256033341
1.4.224-10,-71.5724822325093,-16.3265687666026
1.4.224-10,-71.572720955507,-16.3268677350299
1.4.224-10,-71.5729408097536,-16.3272377468856
1.4.224-10,-71.5726890021813,-16.3272316130825
1.4.224-10,-71.5726060774455,-16.3269981792748
1.4.224-11,,
1.4.224-11,-71.5712066782461,-16.3259875745162
1.4.224-11,-71.5695407401061,-16.3241687367275
1.4.224-11,-71.5695461697228,-16.3239211124923
1.4.224-11,-71.5695404670252,-16.3239211413706
1.4.224-11,-71.5698377067101,-16.3239585385447
1.4.224-11,-71.5703731894561,-16.3245740043015
1.4.224-11,-71.5706247148889,-16.3251115958717
1.4.224-11,-71.5713647472183,-16.325886277322
1.4.224-11,-71.5712066782461,-16.3259875745162
1.4.224-2,,
1.4.224-2,-71.5711043852757,-16.3260020455781
1.4.224-2,-71.5708347302291,-16.3260114972056
1.4.224-2,-71.5700582465618,-16.325156355452
1.4.224-2,-71.5700679983555,-16.3248676502288
1.4.224-2,-71.5711043852757,-16.3260020455781
1.4.224-3,,
1.4.224-3,-71.5707054788746,-16.3259864401767
1.4.224-3,-71.5700672026367,-16.3260055007501
1.4.224-3,-71.5700620701145,-16.3252510995193
1.4.224-3,-71.5707054788746,-16.3259864401767
1.4.224-4,,
1.4.224-4,-71.5699810938522,-16.3260097578211
1.4.224-4,-71.5695456359473,-16.3259992307375
1.4.224-4,-71.5695623195949,-16.3243389189138
1.4.224-4,-71.5699599838897,-16.3247435152807
1.4.224-4,-71.5699810938522,-16.3260097578211
1.4.224-5,,
1.4.224-5,-71.5699515946129,-16.3261187039148
1.4.224-5,-71.5699617210424,-16.3272251335924
1.4.224-5,-71.5695458246263,-16.3272169937897
1.4.224-5,-71.5695469072924,-16.3261210708201
1.4.224-5,-71.5699515946129,-16.3261187039148
1.4.224-6,,
1.4.224-6,-71.570484242889,-16.3272200200782
1.4.224-6,-71.5700551154532,-16.3272161188825
